train_size,run,early_epochs,early_acc,early_loss,smart_epochs,smart_acc,smart_loss,param_epochs,param_acc,param_loss,diff_epochs,diff_loss,diff_acc,rel_epochs_saved,utility,smart_better,dataset
500,1,23,0.5327510917030568,1.1072523713111877,8,0.48034934497816595,1.2682545113563537,9,0.5502183406113537,1.1930878686904907,15,-0.161002140045166,0.05240174672489084,0.6521739127599243,0.022401746724890842,True,Wine
500,2,48,0.5327510917030568,1.2027287101745605,8,0.4585152838427948,1.2452750849723815,9,0.5283842794759825,1.0953204011917115,40,-0.042546374797820974,0.07423580786026202,0.8333333331597222,-0.005764192139737986,False,Wine
500,3,38,0.537117903930131,1.1095992565155028,8,0.5152838427947598,1.2280706906318664,8,0.5502183406113537,1.208257884979248,30,-0.11847143411636352,0.02183406113537123,0.7894736840027701,-0.03816593886462877,False,Wine
500,4,25,0.5327510917030568,1.143399772644043,8,0.45414847161572053,1.2968719363212586,8,0.44541484716157204,1.2404803085327147,17,-0.1534721636772156,0.07860262008733626,0.679999999728,0.04460262008733626,True,Wine
500,5,33,0.5764192139737991,1.1586260032653808,200,0.5851528384279476,1.0777203512191773,8,0.4890829694323144,1.1212051010131836,-167,0.08090565204620348,-0.008733624454148492,-5.060606059072543,0.3252663755458515,True,Wine
500,6,164,0.5895196506550219,1.1094347953796386,8,0.4585152838427948,1.2176199340820313,8,0.4366812227074236,1.221140422821045,156,-0.10818513870239266,0.1310043668122271,0.9512195121371207,-0.1809956331877729,False,Wine
500,7,22,0.5327510917030568,1.28559494972229,8,0.47161572052401746,1.2477253937721253,8,0.5152838427947598,1.2206603813171386,14,0.037869555950164724,0.06113537117903933,0.6363636360743802,0.033135371179039336,True,Wine
500,8,35,0.5021834061135371,1.3390739727020264,200,0.5851528384279476,1.2339060926437377,8,0.44541484716157204,1.4250504779815674,-165,0.1051678800582887,-0.08296943231441056,-4.714285712938775,0.24703056768558945,True,Wine
500,9,40,0.537117903930131,1.1384032344818116,8,0.4759825327510917,1.1676977276802063,9,0.5545851528384279,1.1595984601974487,32,-0.029294493198394722,0.06113537117903933,0.7999999998,-0.0028646288209606685,False,Wine
1000,0,28,0.4890829694323144,1.0863410657872268,200,0.6157205240174672,1.0555213963399168,8,0.5021834061135371,1.108775993839639,-172,0.03081966944730996,-0.12663755458515286,-6.142857140663265,0.21736244541484717,True,Wine
1000,1,130,0.611353711790393,0.9596030340820062,200,0.5938864628820961,1.1015929449451425,8,0.537117903930131,1.1096423672196642,-70,-0.14198991086313628,0.017467248908296873,-0.5384615384201183,0.1574672489082969,True,Wine
1000,2,55,0.5152838427947598,1.0636422699266443,200,0.6375545851528385,1.0368393320854896,8,0.5545851528384279,1.1265021155440742,-145,0.026802937841154728,-0.12227074235807867,-2.6363636358842975,0.16772925764192131,True,Wine
1000,3,184,0.5938864628820961,0.9900610557670801,200,0.5938864628820961,1.042660202810673,8,0.4759825327510917,1.2510248005715876,-16,-0.05259914704359292,0.0,-0.08695652173440453,0.032,True,Wine
1000,4,20,0.5327510917030568,1.1455581110031878,200,0.6069868995633187,1.0057075795580128,8,0.4890829694323144,1.1297641907884775,-180,0.139850531445175,-0.07423580786026196,-8.9999999955,0.285764192139738,True,Wine
1000,5,35,0.5283842794759825,1.1300190951003404,200,0.6069868995633187,1.0100880219636719,8,0.4585152838427948,1.1498854482760195,-165,0.11993107313666851,-0.0786026200873362,-4.714285712938775,0.2513973799126638,True,Wine
1000,6,56,0.5633187772925764,1.0973271750361542,200,0.5982532751091703,1.0751309368779751,8,0.4585152838427948,1.1644525299958193,-144,0.02219623815817906,-0.03493449781659386,-2.571428570969388,0.2530655021834062,True,Wine
1000,7,33,0.5458515283842795,1.1947743351993665,200,0.5851528384279476,1.1182115902014769,8,0.49344978165938863,1.172023391463066,-167,0.07656274499788962,-0.0393013100436681,-5.060606059072543,0.2946986899563319,True,Wine
1000,8,39,0.5676855895196506,1.1394495162807527,200,0.6331877729257642,1.069275986301443,8,0.5152838427947598,1.0590844910001493,-161,0.07017352997930981,-0.06550218340611358,-4.128205127146614,0.25649781659388643,True,Wine
1000,9,32,0.49344978165938863,1.100379549740442,200,0.5851528384279476,1.0658162864830976,8,0.49344978165938863,1.0868252926185482,-168,0.03456326325734449,-0.091703056768559,-5.249999998359375,0.24429694323144102,True,Wine
2000,0,15,0.5545851528384279,1.0908287320632102,200,0.5982532751091703,1.117046222660711,8,0.5109170305676856,1.2135880592742252,-185,-0.02621749059750078,-0.04366812227074235,-12.333333325111111,0.32633187772925765,True,Wine
2000,1,12,0.48034934497816595,1.17618759864015,200,0.62882096069869,1.0326646595704752,8,0.5458515283842795,1.1732829333654518,-188,0.14352293906967484,-0.14847161572052403,-15.66666665361111,0.22752838427947597,True,Wine
2000,2,36,0.5240174672489083,1.1884619648990735,200,0.5764192139737991,1.1844934045942754,8,0.49344978165938863,1.1556202922362449,-164,0.0039685603047980855,-0.05240174672489084,-4.555555554290123,0.2755982532751092,True,Wine
2000,3,27,0.5152838427947598,1.1005786286025752,200,0.5895196506550219,1.0648469172540258,8,0.462882096069869,1.1651603133300614,-173,0.035731711348549355,-0.07423580786026207,-6.407407405034293,0.27176419213973796,True,Wine
2000,4,63,0.5720524017467249,1.1000150774346023,200,0.6200873362445415,1.0013317872917717,8,0.5240174672489083,1.1325701944163589,-137,0.0986832901428305,-0.048034934497816595,-2.1746031742579994,0.22596506550218343,True,Wine
2000,5,71,0.5676855895196506,1.0921156412916757,200,0.6157205240174672,1.0692262222858075,8,0.4759825327510917,1.1140619275348433,-129,0.02288941900586816,-0.048034934497816595,-1.8169014081948027,0.2099650655021834,True,Wine
2000,6,27,0.4890829694323144,1.1127652607328904,200,0.6244541484716157,1.0763117882723365,8,0.519650655021834,1.1894277412383283,-173,0.03645347246055386,-0.13537117903930135,-6.407407405034293,0.21062882096069868,True,Wine
2000,7,28,0.5109170305676856,1.2272765610387417,200,0.6157205240174672,1.1022234217065279,8,0.5109170305676856,1.0787997027563918,-172,0.12505313933221385,-0.10480349344978168,-6.142857140663265,0.23919650655021835,True,Wine
2000,8,18,0.5589519650655022,1.0987328369109357,200,0.6419213973799127,1.1631796936519812,8,0.5152838427947598,1.1233387214889943,-182,-0.06444685674104544,-0.08296943231441056,-10.111111105493826,0.2810305676855894,True,Wine
