task,train_size,lr,strat,stop_ep,gap,max_jump,roughness,room_after_decide,_cid
cifar10,300,0.0003,early,71,0.009000003337860107,0.021873541528525164,0.005560262822324329,0.08069618239611287,18
cifar10,300,0.0003,smart_trend,11,0.1112000048160553,0.021873541528525164,0.005560262822324329,0.08069618239611287,18
cifar10,300,0.0003,smart_meta,11,0.1112000048160553,0.021873541528525164,0.005560262822324329,0.08069618239611287,18
cifar10,300,0.0003,param,11,0.1112000048160553,0.021873541528525164,0.005560262822324329,0.08069618239611287,18
cifar10,2000,0.0005,early,21,0.03470000624656677,0.15461523229410412,0.0695696816640676,0.03147049151332415,19
cifar10,2000,0.0005,smart_trend,13,0.04829999804496765,0.15461523229410412,0.0695696816640676,0.03147049151332415,19
cifar10,2000,0.0005,smart_meta,11,0.054699987173080444,0.15461523229410412,0.0695696816640676,0.03147049151332415,19
cifar10,2000,0.0005,param,11,0.054699987173080444,0.15461523229410412,0.0695696816640676,0.03147049151332415,19
cifar10,800,0.0003,early,31,0.016100019216537476,0.05484137718147797,0.019906360852825426,0.05437714613401523,20
cifar10,800,0.0003,smart_trend,16,0.03380000591278076,0.05484137718147797,0.019906360852825426,0.05437714613401523,20
cifar10,800,0.0003,smart_meta,11,0.0706000030040741,0.05484137718147797,0.019906360852825426,0.05437714613401523,20
cifar10,800,0.0003,param,11,0.0706000030040741,0.05484137718147797,0.019906360852825426,0.05437714613401523,20
cifar10,2000,0.005,early,11,0.0,0.0013552785384378652,0.00010449320674078349,5.543146101516516e-05,21
cifar10,2000,0.005,smart_trend,11,0.0,0.0013552785384378652,0.00010449320674078349,5.543146101516516e-05,21
cifar10,2000,0.005,smart_meta,11,0.0,0.0013552785384378652,0.00010449320674078349,5.543146101516516e-05,21
cifar10,2000,0.005,param,11,0.0,0.0013552785384378652,0.00010449320674078349,5.543146101516516e-05,21
cifar10,800,0.005,early,19,0.004500001668930054,0.07147088179706074,0.0162602906357041,0.04357113032540072,22
cifar10,800,0.005,smart_trend,11,0.007199987769126892,0.07147088179706074,0.0162602906357041,0.04357113032540072,22
cifar10,800,0.005,smart_meta,11,0.007199987769126892,0.07147088179706074,0.0162602906357041,0.04357113032540072,22
cifar10,800,0.005,param,11,0.007199987769126892,0.07147088179706074,0.0162602906357041,0.04357113032540072,22
