task,holdout,is_classifier,train_size,run,strat,epochs,quality,oracle
MNIST,False,True,5000,3,smart_trend,26,0.9363999962806702,0.9412999749183655
MNIST,False,True,5000,3,smart_meta,25,0.9376999735832214,0.9412999749183655
MNIST,False,True,5000,3,param,11,0.9211999773979187,0.9412999749183655
CIFAR10,True,True,500,0,early,50,0.2954999804496765,0.29739999771118164
CIFAR10,True,True,500,0,smart_trend,19,0.24899999797344208,0.29739999771118164
CIFAR10,True,True,500,0,smart_meta,18,0.23359999060630798,0.29739999771118164
CIFAR10,True,True,500,0,param,11,0.21599999070167542,0.29739999771118164
CIFAR10,True,True,500,1,early,42,0.3001999855041504,0.3001999855041504
CIFAR10,True,True,500,1,smart_trend,15,0.26089999079704285,0.3001999855041504
CIFAR10,True,True,500,1,smart_meta,18,0.2793999910354614,0.3001999855041504
CIFAR10,True,True,500,1,param,11,0.23409999907016754,0.3001999855041504
CIFAR10,True,True,500,2,early,47,0.2798999845981598,0.2798999845981598
CIFAR10,True,True,500,2,smart_trend,18,0.2149999886751175,0.2798999845981598
CIFAR10,True,True,500,2,smart_meta,25,0.24560000002384186,0.2798999845981598
CIFAR10,True,True,500,2,param,11,0.2028999924659729,0.2798999845981598
CIFAR10,True,True,500,3,early,30,0.26579999923706055,0.2985000014305115
CIFAR10,True,True,500,3,smart_trend,15,0.2312999963760376,0.2985000014305115
CIFAR10,True,True,500,3,smart_meta,21,0.2768000066280365,0.2985000014305115
CIFAR10,True,True,500,3,param,11,0.2028999924659729,0.2985000014305115
CIFAR10,True,True,2000,0,early,46,0.3554999828338623,0.36169999837875366
CIFAR10,True,True,2000,0,smart_trend,18,0.32089999318122864,0.36169999837875366
CIFAR10,True,True,2000,0,smart_meta,14,0.32339999079704285,0.36169999837875366
CIFAR10,True,True,2000,0,param,11,0.28790000081062317,0.36169999837875366
CIFAR10,True,True,2000,1,early,39,0.3515999913215637,0.3515999913215637
CIFAR10,True,True,2000,1,smart_trend,20,0.3304999768733978,0.3515999913215637
CIFAR10,True,True,2000,1,smart_meta,16,0.31540000438690186,0.3515999913215637
